iris_code,iris_name,zone,observed_prix_m2,value_trap_score,alpha_score
773690000,Poincy (commune non irisée),GrandeCouronne,3021.0,75.4,53.9
774260000,Saint-Méry (commune non irisée),GrandeCouronne,2453.5,69.4,53.9
940790102,Les Ponceaux,PetiteCouronne,3740.0,61.1,53.9
930310102,Iris 2,PetiteCouronne,2379.5,64.9,53.8
781880000,Cravent (commune non irisée),GrandeCouronne,2361.0,72.7,53.8
784980107,Fernand Lefebvre,GrandeCouronne,3333.0,69.0,53.7
771560000,Darvault (commune non irisée),GrandeCouronne,2323.0,81.5,53.7
772850202,Croix Blanche-Plein Ciel Nord-Est,GrandeCouronne,2020.0,67.5,53.6
781230105,Le Port,GrandeCouronne,3566.0,60.4,53.6
930290601,Drancy Centre 1,PetiteCouronne,4094.5,68.5,53.6
772340000,Jablines (commune non irisée),GrandeCouronne,3480.0,63.1,53.6
930660502,Mutuelle Champ de Courses 02,PetiteCouronne,3095.0,64.4,53.6
940710102,La Fosse Rouge,PetiteCouronne,2258.5,66.6,53.5
930480403,La Noue-Clos Français-Guilands 3,PetiteCouronne,4065.5,71.3,53.5
915890113,Quartier 13,GrandeCouronne,3478.0,61.3,53.5
913450103,Perle,GrandeCouronne,3220.5,69.8,53.4
782170103,Nord-Est Épône,GrandeCouronne,3340.0,69.4,53.4
771840000,Flagy (commune non irisée),GrandeCouronne,2352.5,80.3,53.3
930660503,Mutuelle Champ de Courses 03,PetiteCouronne,2455.0,74.6,53.1
772880401,Trois Moulins,GrandeCouronne,2490.0,66.1,53.0
772050000,Gesvres-le-Chapitre (commune non irisée),GrandeCouronne,2492.0,74.9,53.0
940780104,Bois Matar,PetiteCouronne,2016.0,66.2,53.0
930140111,Iris 10,PetiteCouronne,1684.0,68.9,52.9
772250000,La Haute-Maison (commune non irisée),GrandeCouronne,2963.5,85.7,52.9
920360101,Luth 1,PetiteCouronne,3235.0,69.3,52.9
773810000,Quiers (commune non irisée),GrandeCouronne,2021.5,73.4,52.9
915490110,Les Mares Yvon,GrandeCouronne,3550.5,68.5,52.8
780050105,Porte de Seine,GrandeCouronne,4042.0,65.7,52.7
950080000,Aincourt (commune non irisée),GrandeCouronne,2449.0,69.3,52.7
930720102,Clos Saint-Lazare 1,PetiteCouronne,3142.0,63.6,52.7
911910102,Plaine Haute,GrandeCouronne,3365.0,60.1,52.7
920140101,Les Bas Coquarts,PetiteCouronne,4286.0,65.6,52.6
940440106,Les Candies,PetiteCouronne,3820.5,63.2,52.6
783610114,ZAC Henry IV,GrandeCouronne,1786.0,74.5,52.6
783110401,Léon Frapié,GrandeCouronne,3958.0,61.5,52.6
773050105,Ville Haute Est,GrandeCouronne,2000.0,65.1,52.6
912840000,Les Granges-le-Roi (commune non irisée),GrandeCouronne,2902.0,78.8,52.5
916870106,Centre Ville 2,GrandeCouronne,3079.0,60.4,52.5
920500702,Canibouts,PetiteCouronne,4929.0,61.2,52.5
956800111,Cerisaie-Sorbier,GrandeCouronne,2183.5,69.5,52.5
930100108,Le Parc du Château,PetiteCouronne,4350.0,64.1,52.4
954280303,Haut Montmorency Ouest,GrandeCouronne,4131.0,62.4,52.4
930080120,Les Vignes 5,PetiteCouronne,3971.0,73.5,52.4
954930000,Le Plessis-Luzarches (commune non irisée),GrandeCouronne,2984.0,74.9,52.3
773970000,Saâcy-sur-Marne (commune non irisée),GrandeCouronne,2400.0,73.9,52.3
940410206,Plateau Nord,PetiteCouronne,4926.0,61.4,52.3
930310304,Iris 11,PetiteCouronne,3201.0,63.1,52.2
770520000,Bréau (commune non irisée),GrandeCouronne,2538.0,73.7,52.2
952180102,Le Bois-La Danne-La Marne,GrandeCouronne,3264.0,61.1,52.1
915890112,Quartier 12,GrandeCouronne,3827.0,60.0,52.1
955540000,Saint-Gervais (commune non irisée),GrandeCouronne,2741.0,83.2,52.1
772880103,Patton Sud-Ouest,GrandeCouronne,2707.0,65.5,52.0
775250000,Vinantes (commune non irisée),GrandeCouronne,2863.0,73.1,52.0
951270119,Parc Saint-Christophe,GrandeCouronne,3801.0,67.8,52.0
770200000,Bannost-Villegagnon (commune non irisée),GrandeCouronne,2000.0,75.5,52.0
930130105,L'Étang,PetiteCouronne,3850.0,60.8,52.0
930590109,Sud 2,PetiteCouronne,3026.0,74.3,52.0
773940000,Rubelles (commune non irisée),GrandeCouronne,2966.0,64.6,51.9
772930000,Misy-sur-Yonne (commune non irisée),GrandeCouronne,2154.5,69.8,51.9
955850107,Anatole France,GrandeCouronne,3327.0,70.4,51.9
930530115,Léo Lagrange,PetiteCouronne,3756.0,63.2,51.9
913400107,Zone Agricole et Paysagère,GrandeCouronne,3517.0,64.9,51.9
953230104,Les Bruzacques,GrandeCouronne,3341.0,60.0,51.8
930140106,Iris 5,PetiteCouronne,2337.0,65.8,51.8
785360000,Sailly (commune non irisée),GrandeCouronne,2812.0,78.7,51.8
780050101,Gare,GrandeCouronne,4250.0,71.0,51.8
930270104,Convention,PetiteCouronne,2909.0,66.8,51.8
774530000,Sivry-Courtry (commune non irisée),GrandeCouronne,2869.0,77.8,51.7
783250000,Jumeauville (commune non irisée),GrandeCouronne,3065.0,79.7,51.7
774860000,Vaudoy-en-Brie (commune non irisée),GrandeCouronne,2357.0,80.9,51.7
940680801,Saint-Maur Créteil 1,PetiteCouronne,5611.0,70.9,51.7
930010402,Valles,PetiteCouronne,3142.5,72.3,51.7
784980112,Racine,GrandeCouronne,2411.0,69.3,51.7
930270113,6 Routes,PetiteCouronne,2733.0,62.4,51.7
774650000,Thoury-Férottes (commune non irisée),GrandeCouronne,2227.0,72.8,51.6
770630000,La Celle-sur-Morin (commune non irisée),GrandeCouronne,2417.0,73.4,51.6
956510000,Vétheuil (commune non irisée),GrandeCouronne,2980.5,75.0,51.6
940590106,Gambetta,PetiteCouronne,4113.0,63.6,51.6
774810000,Vanvillé (commune non irisée),GrandeCouronne,2286.0,77.5,51.5
751187208,Chapelle 8,Paris,5397.0,63.6,51.5
781130000,Brueil-en-Vexin (commune non irisée),GrandeCouronne,2672.0,82.1,51.5
920730105,Cité Jardins 3,PetiteCouronne,4272.0,66.7,51.4
770140101,Avon Nord,GrandeCouronne,1932.5,67.7,51.4
940770106,Haut Pays,PetiteCouronne,3588.0,70.4,51.4
950630106,Val Nord,GrandeCouronne,3184.0,69.6,51.4
930530105,Centre Ville Gare 2,PetiteCouronne,3863.0,61.7,51.4
915890103,Quartier 3,GrandeCouronne,2475.0,76.5,51.2
956820000,Villiers-le-Sec (commune non irisée),GrandeCouronne,2718.5,73.5,51.2
782810000,Goussonville (commune non irisée),GrandeCouronne,3104.0,78.6,51.2
930010303,Long Sentier,PetiteCouronne,3738.0,71.9,51.2
773370201,Ville Nouvelle Nord,GrandeCouronne,3448.0,76.5,51.1
772140000,Gressy (commune non irisée),GrandeCouronne,3577.5,69.4,51.1
913190000,Janvry (commune non irisée),GrandeCouronne,3480.5,76.4,51.1
920780101,Charles de Gaulle,PetiteCouronne,2500.0,66.7,51.0
772940301,Champs,GrandeCouronne,3592.0,66.7,51.0
774780000,Ussy-sur-Marne (commune non irisée),GrandeCouronne,2330.0,71.9,51.0
951420000,Chars (commune non irisée),GrandeCouronne,2686.5,66.3,51.0
770100000,Aubepierre-Ozouer-le-Repos (commune non irisée),GrandeCouronne,2656.0,85.4,51.0
915560000,Saint-Hilaire (commune non irisée),GrandeCouronne,2593.0,85.5,50.9
